product_name,category,brand,price,product_id
Nike Dress,Fashion,Nike,10170.52,1
Sony Laptop,Electronics,Sony,77177.65,2
Pigeon Home Decor,Home,Pigeon,13968.25,3
IKEA Furniture,Home,IKEA,20.21,4
Home Centre Bedding,Home,Home Centre,627.49,5
Van Heusen Men's T-shirt,Fashion,Van Heusen,76.73,6
Cosco Gym Equipment,Sports,Cosco,13342.48,7
Decathlon Outdoor Gear,Sports,Decathlon,2659.85,8
Whirlpool Storage Solution,Home,Whirlpool,304.02,9
Adidas Men's Footwear,Fashion,Adidas,263.28,10
LG Home Decor,Home,LG,9644.5,11
Fabfurnish Furniture,Home,Fabfurnish,3779.78,12
Adidas Women's Footwear,Fashion,Adidas,75269.33,13
Prestige Furniture,Home,Prestige,395.96,14
Pepe Jeans Dress,Fashion,Pepe Jeans,1996.82,15
Sony Smartphone,Electronics,Sony,78490.85,16
Reynolds Academic,Books,Reynolds,3437.84,17
Decathlon Outdoor Gear,Sports,Decathlon,50015.67,18
OnePlus Smartphone,Electronics,OnePlus,3215.64,19
Britannia Snacks,Grocery,Britannia,533.91,20
Adidas Sportswear,Sports,Adidas,4345.72,21
Boat Tablet,Electronics,Boat,2829.29,22
Parker Non-fiction,Books,Parker,9299.04,23
IKEA Furniture,Home,IKEA,2523.58,24
Van Heusen Men's Jeans,Fashion,Van Heusen,1651.85,25
Penguin Children's Book,Books,Penguin,13530.3,26
Adidas Men's Footwear,Fashion,Adidas,13814.19,27
Dove Women's Haircare,Beauty,Dove,10958.23,28
Reynolds Children's Book,Books,Reynolds,13469.11,29
Biba Men's Kurta,Fashion,Biba,2968.47,30
H&M Dress,Fashion,H&M,5342.32,31
Boat Camera,Electronics,Boat,23031.66,32
Lakme Women's Makeup,Beauty,Lakme,547.15,33
Reynolds Academic,Books,Reynolds,462.97,34
Cosco Gym Equipment,Sports,Cosco,917.76,35
Prestige Storage Solution,Home,Prestige,4817.49,36
Maybelline Women's Makeup,Beauty,Maybelline,12901.08,37
W Men's Jeans,Fashion,W,34958.38,38
LG Kitchen Appliance,Home,LG,1113.25,39
Zara Women's Jeans,Fashion,Zara,1380.31,40
Apple Camera,Electronics,Apple,1963.18,41
Lenovo Smartphone,Electronics,Lenovo,24633.78,42
Reynolds Self-help,Books,Reynolds,198.79,43
JBL Camera,Electronics,JBL,68943.38,44
Harper Collins Children's Book,Books,Harper Collins,4994.44,45
JBL Smart Watch,Electronics,JBL,61.58,46
H&M Men's T-shirt,Fashion,H&M,49008.56,47
Penguin Self-help,Books,Penguin,4114.51,48
IKEA Furniture,Home,IKEA,2293.88,49
Puma Men's Footwear,Fashion,Puma,5812.43,50
JBL Camera,Electronics,JBL,1989.02,51
Van Heusen Dress,Fashion,Van Heusen,2277.22,52
H&M Men's Jeans,Fashion,H&M,3259.26,53
Van Heusen Men's T-shirt,Fashion,Van Heusen,3141.4,54
Mamaearth Women's Haircare,Beauty,Mamaearth,706.66,55
Lenovo Laptop,Electronics,Lenovo,3340.22,56
Dove Women's Skincare,Beauty,Dove,14177.58,57
IKEA Furniture,Home,IKEA,14994.78,58
Sony Smart Watch,Electronics,Sony,145.24,59
OnePlus Smartphone,Electronics,OnePlus,2385.78,60
Allen Solly Women's Footwear,Fashion,Allen Solly,41465.31,61
Boat Smartphone,Electronics,Boat,15.23,62
Organic India Organic Product,Grocery,Organic India,122.56,63
Realme Laptop,Electronics,Realme,3393.87,64
Prestige Storage Solution,Home,Prestige,14120.96,65
Samsung Laptop,Electronics,Samsung,10130.55,66
Van Heusen Men's Kurta,Fashion,Van Heusen,10891.49,67
Sony Laptop,Electronics,Sony,23286.87,68
Puma Yoga Accessories,Sports,Puma,1998.36,69
Whirlpool Furniture,Home,Whirlpool,10204.65,70
Zara Women's T-shirt,Fashion,Zara,3607.84,71
OnePlus Smartphone,Electronics,OnePlus,11125.56,72
Dell Camera,Electronics,Dell,3588.15,73
Pigeon Home Decor,Home,Pigeon,11476.39,74
Home Centre Furniture,Home,Home Centre,6069.48,75
HP Tablet,Electronics,HP,41635.3,76
Allen Solly Women's Jeans,Fashion,Allen Solly,102.02,77
W Saree,Fashion,W,2094.65,78
Adidas Men's Kurta,Fashion,Adidas,3120.58,79
Fabindia Women's Footwear,Fashion,Fabindia,20663.91,80
H&M Women's Kurta,Fashion,H&M,1363.72,81
Dove Women's Perfume,Beauty,Dove,3637.54,82
Godrej Bedding,Home,Godrej,71.3,83
Dell Smartphone,Electronics,Dell,42967.1,84
Realme Camera,Electronics,Realme,1473.48,85
Pigeon Furniture,Home,Pigeon,1061.87,86
Lenovo Headphones,Electronics,Lenovo,49881.7,87
Realme Camera,Electronics,Realme,221.88,88
Sony Camera,Electronics,Sony,7473.76,89
Reebok Gym Equipment,Sports,Reebok,773.48,90
Nike Dress,Fashion,Nike,1108.31,91
Levi's Men's Jeans,Fashion,Levi's,238.01,92
Vivo Smartphone,Electronics,Vivo,728.86,93
Levi's Men's Footwear,Fashion,Levi's,133.4,94
IKEA Storage Solution,Home,IKEA,975.96,95
Prestige Storage Solution,Home,Prestige,3891.85,96
Penguin Fiction,Books,Penguin,8386.71,97
Home Centre Kitchen Appliance,Home,Home Centre,2493.57,98
Lakme Men's Haircare,Beauty,Lakme,775.04,99
Nike Men's Footwear,Fashion,Nike,10196.92,100
Sony Smartphone,Electronics,Sony,7598.07,101
LG Home Decor,Home,LG,894.1,102
IKEA Furniture,Home,IKEA,2945.67,103
Prestige Furniture,Home,Prestige,3295.1,104
Godrej Home Decor,Home,Godrej,12312.56,105
Adidas Sportswear,Sports,Adidas,3550.2,106
Organic India Snacks,Grocery,Organic India,3901.88,107
Realme Headphones,Electronics,Realme,416.43,108
Levi's Men's Kurta,Fashion,Levi's,88.96,109
Parker Non-fiction,Books,Parker,1497.2,110
Whirlpool Home Decor,Home,Whirlpool,2612.28,111
Realme Camera,Electronics,Realme,346.2,112
IKEA Bedding,Home,IKEA,1330.31,113
Adidas Men's Jeans,Fashion,Adidas,301.57,114
JBL Headphones,Electronics,JBL,154.88,115
Biba Saree,Fashion,Biba,9445.86,116
Cosco Gym Equipment,Sports,Cosco,12133.84,117
Dove Women's Haircare,Beauty,Dove,771.99,118
OnePlus Tablet,Electronics,OnePlus,10080.87,119
Nike Dress,Fashion,Nike,2974.37,120
